Time,GMSL (mm)
1941.5,-80
1942.5,-80
1943.5,-80
1944.5,-86.4
1945.5,-83.6
1946.5,-76.1
1947.5,-73
1948.5,-68.2
1949.5,-69.5
1950.5,-67.3
1951.5,-57.8
1952.5,-60.4
1953.5,-56
1954.5,-58.9
1955.5,-58
1956.5,-63.1
1957.5,-49.7
1958.5,-48.3
1959.5,-48
1960.5,-44.3
1961.5,-38.1
1962.5,-43.3
1963.5,-44.9
1964.5,-52.8
1965.5,-41.6
1966.5,-47
1967.5,-45.6
1968.5,-44.8
1969.5,-38
1970.5,-39.9
1971.5,-34.7
1972.5,-25.6
1973.5,-31.6
1974.5,-19.7
1975.5,-21.3
1976.5,-22.3
1977.5,-24
1978.5,-17.6
1979.5,-22.5
1980.5,-16.5
1981.5,-4.1
1982.5,-9.9
1983.5,-1.5
1984.5,-2.4
1985.5,-12.7
1986.5,-12.1
1987.5,-11.5
1988.5,-6.8
1989.5,-2.3
1990.5,0
1991.5,2.5
1992.5,3.2
1993.5,1.4
1994.5,6.6
1995.5,9.5
1996.5,13.6
1997.5,20.6
1998.5,10.7
1999.5,19.2
2000.5,20.5
2001.5,26
2002.5,28.4
2003.5,37.6
2004.5,37.2
2005.5,37.3
2006.5,41.6
2007.5,43.5
2008.5,52.2
2009.5,58,
2010.5,65.7
2011.5,67.3
2012.5,76.1
2013.5,67.7
