year,meant
1940,15.3
1941,13.9
1942,13.5
1943,13.5
1944,13.6
1945,13.3
1946,12.3
1947,13.7
1948,12.8
1949,14.1
1950,14.4
1951,13.8
1952,13.1
1953,13.2
1954,12.8
1955,13.6
1956,12.9
1957,14
1958,13
1959,13.9
1960,14.7
1961,12.9
1962,12.6
1963,14
1964,12.9
1965,13.1
1966,13.7
1967,13.1
1968,13.5
1969,13.1
1970,15.1
1971,13
1972,11.2
1973,13.3
1974,13.4
1975,13.9
1976,14.2
1977,12.4
1978,12.8
1979,13
1980,12.7
1981,12.8
1982,14.6
1983,13.2
1984,13.3
1985,12.7
1986,13.4
1987,13
1988,14.3
1989,13.5
1990,12.9
1991,12.9
1992,14.1
1993,13.3
1994,12.8
1995,14.3
1996,13.6
1997,13.7
1998,13.2
1999,12.8
2000,13.8
2001,13.4
2002,12.5
2003,13.8
2004,14
2005,14.5
2006,14.2
2007,14.3
2008,13.6
2009,15
2010,14.9
2011,12.3
2012,13.3
2013,13.2
2014,.7
2015,13
2016,14.5
2017,14.1
2018,15.3
2019,13.3
