year,meant,GMSL (mm)
1940,15.3,-80
1941,13.9,-80
1942,13.5,-80
1943,13.5,-86.4
1944,13.6,-83.6
1945,13.3,-76.1
1946,12.3,-73
1947,13.7,-68.2
1948,12.8,-69.5
1949,14.1,-67.3
1950,14.4,-57.8
1951,13.8,-60.4
1952,13.1,-56
1953,13.2,-58.9
1954,12.8,-58
1955,13.6,-63.1
1956,12.9,-49.7
1957,14,48.3
1958,13,48
1959,13.9,-44.3
1960,14.7,-38.1
1961,12.9,-43.3
1962,12.6,-44.9
1963,14,-52.8
1964,12.9,-41.6
1965,13.1,-47
1966,13.7,-45.6
1967,13.1,-44.8
1968,13.5,-38
1969,13.1,-39.9
1970,15.1,-34.7
1971,13,-25.6
1972,11.2,-31.6
1973,13.3,-19.7
1974,13.4,-21.3
1975,13.9,-22.3
1976,14.2,-24
1977,12.4,-17.6
1978,12.8,-22.5
1979,13,-16.5
1980,12.7,-4.1
1981,12.8,-9.9
1982,14.6,-1.5
1983,13.2,-2.4
1984,13.3,-12.7
1985,12.7,-12.1
1986,13.4,-11.5
1987,13,-6.8
1988,14.3,-2.3
1989,13.5,0
1990,12.9,2.5
1991,12.9,3.2
1992,14.1,1.4
1993,13.3,6.6
1994,12.8,9.5
1995,14.3,13.6
1996,13.6,20.6
1997,13.7,10.7
1998,13.2,19.2
1999,12.8,20.5
2000,13.8,26
2001,13.4,28.4
2002,12.5,37.6
2003,13.8,37.2
2004,14,37.3
2005,14.5,41.6
2006,14.2,43.5
2007,14.3,52.2
2008,13.6,58
2009,15,65.7
2010,14.9,67.3
2011,12.3,76.1
2012,13.3,67.7

